"","site.animal.healthSH","site.animal.healthSH.1","site.animal.healthSH.2","site.animal.healthSH.3","site.animal.healthSH.4","site.animal.healthSH.5"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae",-0.797735075089031,0.453992919441944,-1.75715312051479,0.0788917133868768,0.180141141830866,FALSE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae",-0.821197418420362,0.319956376219665,-2.56659182143184,0,0,TRUE
"k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Stigonematales;f__Rivulariaceae",-0.451656938283449,0.254726192169061,-1.77310756478346,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae",-0.324524120731089,0.343948128218795,-0.94352634628862,0,0,TRUE
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__",-0.637576882911696,0.51472961831571,-1.23866367938562,0.215470074742813,0.361989725567926,FALSE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae",-1.31259743192071,0.355462567547481,-3.69264601045615,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__",0.605260612799984,0.357080521272691,1.69502556634213,0.0900705709154332,0.180141141830866,FALSE
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__",-0.591705125761951,0.506083453123741,-1.16918488859835,0.242329148175619,0.39913036170102,FALSE
"k__Bacteria;p__GN02;c__BD1-5;o__;f__",2.5114884766578,0.544342178602616,4.61380465336172,3.95364039310414e-06,2.44452472751158e-05,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae",-0.466943705830152,0.430263974740043,-1.08524936607177,0.277811225156567,0.432150794687993,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae",0.292874693012058,0.318028778253796,0.920906260811202,0.357099369596984,0.491743394199126,FALSE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae",-0.788828825879125,0.328394423118756,-2.40207741163091,0,0,TRUE
"k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__",0.294697565326972,0.325544445663414,0.905245256838647,0.365335470794924,0.493385102391446,FALSE
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae",-0.441483445114738,0.252377740977713,-1.74929628660764,0,0,TRUE
"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae",-0.661885715990707,0.23984382860498,-2.75965289513797,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae",0.898105441184273,0.516699183627248,1.73815920296126,0.0821827654712428,0.180141141830866,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alcanivoracaceae",2.23711556566789,0.485531463385197,4.60756044535279,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae",-1.03892539141747,0.279276110416013,-3.72006538572123,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae",-0.201781941728239,0.395996397122488,-0.509554993920373,0.610363261196563,0.722119914655089,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__",0.413566461480304,0.412151825300034,1.0034323181251,0.315652317460878,0.465171836258136,FALSE
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__",0.0423987659208944,0.41385734462753,0.102447779340616,0.918401260715962,0.940801291465132,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalorhabdales;f__",-0.200157081045462,0.317460356387309,-0.630494727981929,0.528370951006874,0.662435222157872,FALSE
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Hydrogenophilales;f__Hydrogenophilaceae",-0.521233317792461,0.328612041071007,-1.5861662162277,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae",0.325001148572116,0.321226107357145,1.0117519750995,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae",-0.449683882058964,0.317793516465594,-1.41501905721745,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__;o__;f__",-0.299145940473602,0.323668774341123,-0.924234786264318,0,0,TRUE
