"","site.animal.healthSS","site.animal.healthSS.1","site.animal.healthSS.2","site.animal.healthSS.3","site.animal.healthSS.4","site.animal.healthSS.5"
"k__Bacteria;p__GN02;c__BD1-5;o__;f__",-0.980628000802278,0.721682010423699,-1.35880898600556,0.174207125093052,0.297735813795398,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae",0.413283645974881,0.557821649640438,0.740888501264296,0.458761048071675,0.616050550267678,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae",0.133490410549721,0.434421787288295,0.30728295508147,0.758628008383498,0.848940866524391,FALSE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiaceae",1.82812141642412,0.529818392977512,3.4504680106523,0,0,TRUE
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__",-0.0069985957550899,0.443420047070738,-0.0157832190973843,0.987407335991031,0.987407335991031,FALSE
"k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__",-0.437827915338859,0.36365674689983,-1.20395928047902,0,0,TRUE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae",0.761978587692967,0.45787622099368,1.66415846195141,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae",-0.270717536155463,0.72184914302565,-0.37503339689612,0.707635629198204,0.811192062739404,FALSE
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae",1.05749752398315,0.627011964710979,1.68656673795786,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alcanivoracaceae",-1.95768115517515,0.556906261535031,-3.51527948308408,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae",0.720403025079169,0.570421893109797,1.26293018164452,0.206614272120541,0.323695692988848,FALSE
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__",1.49416452099943,0.612770981469853,2.43837349708593,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__",0.573837696184302,0.645872228961215,0.88846937591237,0.37428832176623,0.517398562441554,FALSE
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__",-0.197931562809882,0.545606161959418,-0.36277369393897,0.716773944306211,0.81176808150342,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalorhabdales;f__",0.765900422100474,0.423764894621783,1.80737109614531,0.0707044374968601,0.164917814296071,FALSE
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__",0.0878994516629827,0.435853518613006,0.201672001966855,0.840173152038699,0.887150631350508,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;__",0.859092717701538,0.5757562995578,1.4921117117804,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae",0.658029971425382,0.433875955632004,1.51663156919324,0.129359730266646,0.248159482552342,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__",-0.495680329825414,0.360977653380561,-1.37316070727193,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__",0.621516549720531,0.612249491189437,1.01513608204572,0.310040964004716,0.448366932560666,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__[Chromatiaceae]",-0.580021219703026,0.455588169051856,-1.27312616767493,0,0,TRUE
"k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;__",-0.0729945951836431,0.356448820421254,-0.204782821548904,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__",0.455659369862211,0.388708986687765,1.17223780634695,0.241101593608053,0.359738885700904,FALSE
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae",0.113868485152588,0.443104979423218,0.256978572664222,0.797195314274582,0.873125122516797,FALSE
"k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Lentisphaerales;f__",0.780677257239092,0.391831286435099,1.99238111979708,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oleiphilaceae",-0.596504917223657,0.466584430707132,-1.27845011098982,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae",0.44127438619888,0.358996583378646,1.22918826147561,0,0,TRUE
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae",0.668614289211407,0.380396118359525,1.75767905333744,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae",-0.221658084487943,0.369840158115172,-0.599334819716675,0,0,TRUE
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;__",-0.18307878447173,0.361706571492394,-0.506152773825343,0.612749405243135,0.748031741465645,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__[Marinicellales];f__[Marinicellaceae]",0.341892455532685,0.29828543624227,1.14619225075071,0.251715613574425,0.369707307437437,FALSE
"k__Bacteria;p__Proteobacteria;__;__;__",0.979663168064181,0.378953051088378,2.58518348183376,0.00973271886203017,0.0415852533195834,TRUE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__",0.700869983742804,0.335325338619557,2.09011936475811,0,0,TRUE
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae",0.13877339244788,0.349571899184304,0.396980972359895,0.691381492047613,0.802343953734267,FALSE
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__NS9",-0.222969026807838,0.348392733971277,-0.639993332427596,0.522176934147335,0.664892321468183,FALSE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3;f__",0.146359499875365,0.328549018414616,0.445472339505409,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__OM27",0.461680919466748,0.332142501706412,1.39000855685382,0.164526278982861,0.29180132498847,FALSE
"k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae",-0.0112606560661831,0.256101043899977,-0.0439695828439541,0.964928649782922,0.975304226662308,FALSE
"k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__",0.178028332551099,0.285071790323442,0.624503506113702,0.532296968477021,0.667145533824533,FALSE
