feature1,feature2,r
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.1226
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Hydrogenophilales;f__Hydrogenophilaceae,-0.3076
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__,-0.0159
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae,0.1386
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae,-0.2192
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;__,0.5363
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae,-0.0951
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae,-0.392
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bacteriovoracaceae,0.1548
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.1259
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__;o__;f__,-0.2825
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae,-0.6192
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae,-0.1746
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae,-0.2069
k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__lheB3-7,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.1607
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__,-0.3147
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__34P16;f__,0.1405
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__TM6;c__SBRH58;o__;f__,0.2006
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.1668
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.2121
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Exiguobacteraceae],k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.1903
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae,-0.1632
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.1207
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae,0.183
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae,0.1621
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Lentisphaerales;f__,0.4507
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae,0.0107
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae,0.4999
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__WWE1;c__[Cloacamonae];o__[Cloacamonales];f__MSBL8,0.1313
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae,-0.216
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__NB1-j;f__JTB38,-0.2555
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae,0.3686
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__[Chromatiaceae],0.252
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalorhabdales;f__,-0.1999
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria,0.2229
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__OP8;c__OP8_2;o__;f__,0.1751
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.1603
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.0287
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.1861
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.0204
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.6185
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__,-0.1233
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__,0.0428
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.1735
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae,-0.1763
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.1646
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Spirochaetes;c__[Brachyspirae];o__[Brachyspirales];f__Brachyspiraceae,-0.0501
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__R76-B128;f__,0.1872
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__UA01;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.235
k__Bacteria;p__Cyanobacteria;c__;o__;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.2896
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Cohaesibacteraceae,0.194
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;__;__;__,0.03
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.0137
k__Bacteria;p__Chlorobi;c__SJA-28;o__;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.1602
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,-0.0318
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3;f__,0.1854
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__,-0.0944
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae,0.1279
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.1762
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oleiphilaceae,-0.1413
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__,-0.0142
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__,-0.1655
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.1123
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__OM27,-0.1543
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.1752
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae,0.1555
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__[Bryobacteraceae],k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.1259
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__[Pelagicoccales];f__[Pelagicoccaceae],0.1935
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Tenericutes;c__Mollicutes;o__;f__,0.3141
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae,-0.038
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__,-0.0949
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Sphaerochaetales;f__Sphaerochaetaceae,0.2682
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae,0.422
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.1396
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__NS11-12,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.1616
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae,-0.082
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales;f__Phormidiaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.2697
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__SAR406;c__AB16;o__Arctic96B-7;f__A714017,-0.051
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae,0.0214
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__,0.0785
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae,-0.0195
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae,0.1592
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.1714
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__[Marinicellales];f__[Marinicellaceae],0.0052
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae],0.2547
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__NS9,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.0708
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.0921
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Gemmatimonadetes;c__Gemm-2;o__;f__,-0.0599
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.0654
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__;f__,-0.0692
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;__,0.1615
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__HTCC2188;f__HTCC2089,0.1822
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae,-0.0215
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.1897
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__SBR1093;c__A712011;o__;f__,-0.0735
k__Bacteria;p__Chlorobi;c__OPB56;o__;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.0676
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__M2PT2-76;f__,0.0217
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__JdFBGBact,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.1253
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__SAR406;c__AB16;o__SSW63Au;f__SHAS460,0.1423
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.1752
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__,0.1047
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,0.4438
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.2351
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.1147
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__,0.1508
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae,0.0183
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.175
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;__;__,0.247
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Cystobacteraceae,0.003
k__Bacteria;p__Cyanobacteria;c__ML635J-21;o__;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.0564
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,-0.0129
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Spirochaetes;c__[Leptospirae];o__[Leptospirales];f__Sediment-4,0.2451
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__PK34,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.1234
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Spirobacillales;f__,0.0887
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,0.0154
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Planctomycetes;c__OM190;o__CL500-15;f__,0.0675
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,0.144
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;__,0.2636
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales;f__Victivallaceae,0.1485
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__WCHB1-41;f__,0.1183
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae,0.0669
k__Bacteria;p__Bacteroidetes;__;__;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.0752
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Psychromonadaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.0367
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Procabacteriales;f__Procabacteriaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,-0.1808
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.0388
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,-0.1655
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.3415
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.4685
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.0503
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.326
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.3326
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,-0.3348
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.0383
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Xenococcaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.0314
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae],k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.385
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,-0.2655
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Sva0853;f__JTB36,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,-0.3603
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Synechococcaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.3585
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__GMD14H09;f__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.1295
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.2395
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.4099
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,-0.2308
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Acidaminobacteraceae],k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,-0.4351
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.2393
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Endozoicimonaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.1867
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,0.058
